time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Activity,Activity Confidence,Activity Start,Steps,Last Step Date,State
2014-09-21 00:27:51.620,1,0.01,0,0,0,0,0,0,0,-1,-0.02209473,0.02580261,-1.028763,0,0,0,0,0,-1,-0.02322143,0.001564873,0.02683667,-0.4438305,-0.02404123,-0.02536691,0.003759718,-0.0009125876,0.00136021,0.001005665,-0.002033499,-0.02581813,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:27:51.654,2,0.02,0,0,0,0,0,0,0,-1,-0.02825928,0.02529907,-1.014801,0,0,0,0,0,-1,-0.02060328,0.009999637,0.02438071,-0.4437539,-0.02409285,-0.02540096,-0.005149585,0.0003955214,0.004889498,0.001988023,0.0004043849,-0.02937553,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:27:51.676,3,0.03,0,0,0,0,0,0,0,-1,-0.02522278,0.02455139,-1.020752,0,0,0,0,0,-1,-0.02445288,0.007626494,0.02679007,-0.4436979,-0.02407411,-0.02536489,-0.003801972,0.00399331,0.001177682,-0.004195232,-6.31014e-05,-0.01541237,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:27:51.707,4,0.04,0,0,0,0,0,0,0,-1,-0.02510071,0.02304077,-1.023804,0,0,0,0,0,-1,-0.01677259,0.005104747,0.02075082,-0.4435775,-0.02405141,-0.02545802,0.002557539,0.002712363,0.002545475,-0.0003422474,-0.000644475,-0.02496619,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:27:51.740,5,0.05,0,0,0,0,0,0,0,-1,-0.02429199,0.02407837,-1.021652,0,0,0,0,0,-1,-0.015551,0.008745821,0.02449629,-0.443527,-0.02404705,-0.02527223,0.005095127,0.0002627986,0.001366093,-0.002009702,-0.0006876324,-0.02433577,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:27:51.763,6,0.06,0,0,0,0,0,0,0,-1,-0.02294922,0.02375793,-1.022079,0,0,0,0,0,-1,-0.015551,0.008745821,0.02449629,-0.443527,-0.02404705,-0.02527223,0.005095127,0.0002627986,0.001366093,-0.002009702,-0.0006876324,-0.02433577,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:27:51.791,7,0.07,0,0,0,0,0,0,0,-1,-0.02261353,0.02452087,-1.023376,0,0,0,0,0,-1,-0.02449389,0.004003264,0.02804415,-0.4434615,-0.02397598,-0.02515137,-0.003743851,0.002759649,0.001163097,-0.002019616,-0.001100867,-0.02254574,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:27:51.824,8,0.08,0,0,0,0,0,0,0,-1,-0.02386475,0.02320862,-1.022751,0,0,0,0,0,-1,-0.02062991,0.005159076,0.02439562,-0.4433727,-0.02395972,-0.02519038,-0.006307201,0.0003686537,0.002357642,0.001336299,-0.0006668409,-0.02398065,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:27:51.848,9,0.09,0,0,0,0,0,0,0,-1,-0.02386475,0.02320862,-1.022751,0,0,0,0,0,-1,-0.02062991,0.005159076,0.02439562,-0.4433727,-0.02395972,-0.02519038,-0.006307201,0.0003686537,0.002357642,0.001336299,-0.0006668409,-0.02398065,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:27:51.884,10,0.09999999,0,0,0,0,0,0,0,-1,-0.0221405,0.0249939,-1.02565,0,0,0,0,0,-1,-0.02577967,0.004021373,0.02925909,-0.4431794,-0.02404309,-0.02524675,-0.00371146,-0.002102548,0.001161362,-0.0005945791,-0.001165696,-0.02734101,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
